Year,Budget Estimates,Revised Estimates,Extra Budgetary Resources,Total
2019-20,6853.26,6853.36,15000,21853.36
2020-21,8000,21000,10000,31000
2021-22,8000,27023.97,NA,27023.97
2022-23,28000,28708.1,NA,28708.1
2023-24,25103.03,21703.03,NA,21703.03
2024-25,30170.61,15170,NA,15170
